t,beta1,r1,sigma
6/3/2021,0.041174701,0.05597136,0.05
7/3/2021,0.041174701,0.05597136,0.05
8/3/2021,0.044569165,0.080500145,0.05
9/3/2021,0.044569165,0.080500145,0.05
10/3/2021,0.044569165,0.080500145,0.05
11/3/2021,0.044569165,0.080500145,0.05
12/3/2021,0.044569165,0.080500145,0.05
13/3/2021,0.044569165,0.080500145,0.05
14/3/2021,0.044569165,0.080500145,0.05
15/3/2021,0.044569165,0.080500145,0.05
16/3/2021,0.044569165,0.080500145,0.05
17/3/2021,0.061661102,0.060760249,0.05
18/3/2021,0.061661102,0.060760249,0.05
19/3/2021,0.061661102,0.060760249,0.05
20/3/2021,0.061661102,0.060760249,0.05
21/3/2021,0.061661102,0.060760249,0.05
22/3/2021,0.061661102,0.060760249,0.05
23/3/2021,0.061661102,0.060760249,0.05
24/3/2021,0.061661102,0.060760249,0.05
25/3/2021,0.061661102,0.060760249,0.05
26/3/2021,0.061661102,0.060760249,0.05
27/3/2021,0.061661102,0.060760249,0.05
28/3/2021,0.061661102,0.060760249,0.05
29/3/2021,0.047295174,0.041665479,0.05
30/3/2021,0.047295174,0.041665479,0.05
31/3/2021,0.047295174,0.041665479,0.05
1/4/2021,0.047295174,0.041665479,0.05
2/4/2021,0.047295174,0.041665479,0.05
3/4/2021,0.047295174,0.041665479,0.05
4/4/2021,0.047295174,0.041665479,0.05
5/4/2021,0.0459731,0.044179633,0.05
6/4/2021,0.0459731,0.044179633,0.05
7/4/2021,0.0459731,0.044179633,0.05
8/4/2021,0.0459731,0.044179633,0.05
9/4/2021,0.0459731,0.044179633,0.05
10/4/2021,0.0459731,0.044179633,0.05
11/4/2021,0.055050273,0.051088821,0.05
12/4/2021,0.055050273,0.051088821,0.05
13/4/2021,0.055050273,0.051088821,0.05
14/4/2021,0.055050273,0.051088821,0.05
15/4/2021,0.055050273,0.051088821,0.05
16/4/2021,0.055050273,0.051088821,0.05
17/4/2021,0.055050273,0.051088821,0.05
18/4/2021,0.06351735,0.074923774,0.05
19/4/2021,0.06351735,0.074923774,0.05
20/4/2021,0.06351735,0.074923774,0.05
21/4/2021,0.06351735,0.074923774,0.05
22/4/2021,0.06351735,0.074923774,0.05
23/4/2021,0.06351735,0.074923774,0.05
24/4/2021,0.06351735,0.074923774,0.05
25/4/2021,0.06351735,0.074923774,0.05
26/4/2021,0.069786192,0.052381316,0.05
27/4/2021,0.069786192,0.052381316,0.05
28/4/2021,0.069786192,0.052381316,0.05
29/4/2021,0.069786192,0.052381316,0.05
30/4/2021,0.069786192,0.052381316,0.05
1/5/2021,0.069786192,0.052381316,0.05
2/5/2021,0.069786192,0.052381316,0.05
3/5/2021,0.069786192,0.052381316,0.05
4/5/2021,0.069786192,0.052381316,0.05
5/5/2021,0.069786192,0.052381316,0.05
6/5/2021,0.069786192,0.052381316,0.05
7/5/2021,0.069786192,0.052381316,0.05
8/5/2021,0.069786192,0.052381316,0.05
9/5/2021,0.069786192,0.052381316,0.05
10/5/2021,0.069786192,0.052381316,0.05
11/5/2021,0.069786192,0.052381316,0.05
12/5/2021,0.092327062,0.047151836,0.05
13/5/2021,0.092327062,0.047151836,0.05
14/5/2021,0.092327062,0.047151836,0.05
15/5/2021,0.092327062,0.047151836,0.05
16/5/2021,0.092327062,0.047151836,0.05
17/5/2021,0.092327062,0.047151836,0.05
18/5/2021,0.092327062,0.047151836,0.05
19/5/2021,0.095328424,0.072745875,0.05
20/5/2021,0.095328424,0.072745875,0.05
21/5/2021,0.095328424,0.072745875,0.05
22/5/2021,0.095328424,0.072745875,0.05
23/5/2021,0.095328424,0.072745875,0.05
24/5/2021,0.095328424,0.072745875,0.05
25/5/2021,0.095328424,0.072745875,0.05
26/5/2021,0.102429956,0.066308608,0.05
27/5/2021,0.102429956,0.066308608,0.05
28/5/2021,0.102429956,0.066308608,0.05
29/5/2021,0.102429956,0.066308608,0.05
30/5/2021,0.102429956,0.066308608,0.05
31/5/2021,0.102429956,0.066308608,0.05
1/6/2021,0.102429956,0.066308608,0.05
2/6/2021,0.102429956,0.066308608,0.05
3/6/2021,0.102429956,0.066308608,0.05
4/6/2021,0.102429956,0.066308608,0.05
5/6/2021,0.102429956,0.066308608,0.05
6/6/2021,0.102429956,0.066308608,0.05
7/6/2021,0.102429956,0.066308608,0.05
8/6/2021,0.102429956,0.066308608,0.05
9/6/2021,0.102429956,0.066308608,0.05
10/6/2021,0.102429956,0.066308608,0.05
11/6/2021,0.117280074,0.080170707,0.05
12/6/2021,0.117280074,0.080170707,0.05
13/6/2021,0.117280074,0.080170707,0.05
14/6/2021,0.117280074,0.080170707,0.05
15/6/2021,0.117280074,0.080170707,0.05
16/6/2021,0.117280074,0.080170707,0.05
17/6/2021,0.117280074,0.080170707,0.05
18/6/2021,0.117280074,0.080170707,0.05
19/6/2021,0.117280074,0.080170707,0.05
20/6/2021,0.117280074,0.080170707,0.05
21/6/2021,0.117280074,0.080170707,0.05
22/6/2021,0.117280074,0.080170707,0.05
23/6/2021,0.117280074,0.080170707,0.05
24/6/2021,0.117280074,0.080170707,0.05
25/6/2021,0.117280074,0.080170707,0.05
26/6/2021,0.117280074,0.080170707,0.05
27/6/2021,0.117280074,0.080170707,0.05
28/6/2021,0.117280074,0.080170707,0.05
29/6/2021,0.117280074,0.080170707,0.05
30/6/2021,0.117280074,0.080170707,0.05
1/7/2021,0.117280074,0.080170707,0.05
2/7/2021,0.117280074,0.080170707,0.05
3/7/2021,0.117280074,0.080170707,0.05
4/7/2021,0.117280074,0.080170707,0.05
5/7/2021,0.117280074,0.080170707,0.05
6/7/2021,0.117280074,0.080170707,0.05
7/7/2021,0.117280074,0.080170707,0.05
8/7/2021,0.117280074,0.080170707,0.05
9/7/2021,0.117280074,0.080170707,0.05
10/7/2021,0.117280074,0.080170707,0.05
11/7/2021,0.117280074,0.080170707,0.05
12/7/2021,0.117280074,0.080170707,0.05
13/7/2021,0.076265914,0.088078842,0.05
14/7/2021,0.076265914,0.088078842,0.05
15/7/2021,0.076265914,0.088078842,0.05
16/7/2021,0.076265914,0.088078842,0.05
17/7/2021,0.076265914,0.088078842,0.05
18/7/2021,0.076265914,0.088078842,0.05
19/7/2021,0.076265914,0.088078842,0.05
20/7/2021,0.076265914,0.088078842,0.05
21/7/2021,0.076265914,0.088078842,0.05
22/7/2021,0.076265914,0.088078842,0.05
23/7/2021,0.076265914,0.088078842,0.05
24/7/2021,0.076265914,0.088078842,0.05
25/7/2021,0.076265914,0.088078842,0.05
26/7/2021,0.076265914,0.088078842,0.05
27/7/2021,0.076265914,0.088078842,0.05
28/7/2021,0.076265914,0.088078842,0.05
29/7/2021,0.076265914,0.088078842,0.05
30/7/2021,0.076265914,0.088078842,0.05
31/7/2021,0.076265914,0.088078842,0.05
1/8/2021,0.076265914,0.088078842,0.05
2/8/2021,0.076265914,0.088078842,0.05
3/8/2021,0.076265914,0.088078842,0.05
4/8/2021,0.076265914,0.088078842,0.05
