t,beta1,r1,d1,gamma,sigma
14/6/2020,0.024882447,0.143008105,0.000264797,9.63E-11,0.05
15/6/2020,0.024882447,0.143008105,0.000264797,9.63E-11,0.05
16/6/2020,0.024882447,0.143008105,0.000264797,9.63E-11,0.05
17/6/2020,0.024882447,0.143008105,0.000264797,9.63E-11,0.05
18/6/2020,0.024882447,0.143008105,0.000264797,9.63E-11,0.05
19/6/2020,0.024882447,0.143008105,0.000264797,9.63E-11,0.05
20/6/2020,0.024882447,0.143008105,0.000264797,9.63E-11,0.05
21/6/2020,0.024882447,0.143008105,0.000264797,9.63E-11,0.05
22/6/2020,0.024882447,0.143008105,0.000264797,9.63E-11,0.05
23/6/2020,0.024882447,0.143008105,0.000264797,9.63E-11,0.05
24/6/2020,0.024882447,0.143008105,0.000264797,9.63E-11,0.05
25/6/2020,0.042395618,0.125752216,0.000164162,1.01E-10,0.05
26/6/2020,0.042395618,0.125752216,0.000164162,1.01E-10,0.05
27/6/2020,0.042395618,0.125752216,0.000164162,1.01E-10,0.05
28/6/2020,0.042395618,0.125752216,0.000164162,1.01E-10,0.05
29/6/2020,0.042395618,0.125752216,0.000164162,1.01E-10,0.05
30/6/2020,0.042395618,0.125752216,0.000164162,1.01E-10,0.05
1/7/2020,0.042395618,0.125752216,0.000164162,1.01E-10,0.05
2/7/2020,0.042395618,0.125752216,0.000164162,1.01E-10,0.05
3/7/2020,0.042395618,0.125752216,0.000164162,1.01E-10,0.05
4/7/2020,0.042395618,0.125752216,0.000164162,1.01E-10,0.05
5/7/2020,0.042395618,0.125752216,0.000164162,1.01E-10,0.05
6/7/2020,0.042395618,0.125752216,0.000164162,1.01E-10,0.05
7/7/2020,0.042395618,0.125752216,0.000164162,1.01E-10,0.05
8/7/2020,0.042395618,0.125752216,0.000164162,1.01E-10,0.05
9/7/2020,0.042395618,0.125752216,0.000164162,1.01E-10,0.05
10/7/2020,0.10534785,0.082861335,0.002402163,1.03E-10,0.05
11/7/2020,0.10534785,0.082861335,0.002402163,1.03E-10,0.05
12/7/2020,0.10534785,0.082861335,0.002402163,1.03E-10,0.05
13/7/2020,0.10534785,0.082861335,0.002402163,1.03E-10,0.05
14/7/2020,0.10534785,0.082861335,0.002402163,1.03E-10,0.05
15/7/2020,0.10534785,0.082861335,0.002402163,1.03E-10,0.05
16/7/2020,0.10534785,0.082861335,0.002402163,1.03E-10,0.05
17/7/2020,0.10534785,0.082861335,0.002402163,1.03E-10,0.05
18/7/2020,0.10534785,0.082861335,0.002402163,1.03E-10,0.05
19/7/2020,0.10534785,0.082861335,0.002402163,1.03E-10,0.05
20/7/2020,0.10534785,0.082861335,0.002402163,1.03E-10,0.05
21/7/2020,0.10534785,0.082861335,0.002402163,1.03E-10,0.05
22/7/2020,0.108308579,0.04910575,0.000834943,9.74E-11,0.05
23/7/2020,0.108308579,0.04910575,0.000834943,9.74E-11,0.05
24/7/2020,0.108308579,0.04910575,0.000834943,9.74E-11,0.05
25/7/2020,0.108308579,0.04910575,0.000834943,9.74E-11,0.05
26/7/2020,0.108308579,0.04910575,0.000834943,9.74E-11,0.05
27/7/2020,0.108308579,0.04910575,0.000834943,9.74E-11,0.05
28/7/2020,0.108308579,0.04910575,0.000834943,9.74E-11,0.05
29/7/2020,0.108308579,0.04910575,0.000834943,9.74E-11,0.05
30/7/2020,0.108308579,0.04910575,0.000834943,9.74E-11,0.05
31/7/2020,0.108308579,0.04910575,0.000834943,9.74E-11,0.05
1/8/2020,0.108308579,0.04910575,0.000834943,9.74E-11,0.05
2/8/2020,0.108308579,0.04910575,0.000834943,9.74E-11,0.05
3/8/2020,0.108308579,0.04910575,0.000834943,9.74E-11,0.05
4/8/2020,0.059771437,0.076622069,0.000250032,1.00E-10,0.05
5/8/2020,0.059771437,0.076622069,0.000250032,1.00E-10,0.05
6/8/2020,0.059771437,0.076622069,0.000250032,1.00E-10,0.05
7/8/2020,0.059771437,0.076622069,0.000250032,1.00E-10,0.05
8/8/2020,0.059771437,0.076622069,0.000250032,1.00E-10,0.05
9/8/2020,0.059771437,0.076622069,0.000250032,1.00E-10,0.05
10/8/2020,0.059771437,0.076622069,0.000250032,1.00E-10,0.05
11/8/2020,0.059771437,0.076622069,0.000250032,1.00E-10,0.05
12/8/2020,0.059771437,0.076622069,0.000250032,1.00E-10,0.05
13/8/2020,0.059771437,0.076622069,0.000250032,1.00E-10,0.05
14/8/2020,0.059771437,0.076622069,0.000250032,1.00E-10,0.05
15/8/2020,0.082861209,0.065748519,0.00010472,1.06E-10,0.05
16/8/2020,0.082861209,0.065748519,0.00010472,1.06E-10,0.05
17/8/2020,0.082861209,0.065748519,0.00010472,1.06E-10,0.05
18/8/2020,0.082861209,0.065748519,0.00010472,1.06E-10,0.05
19/8/2020,0.082861209,0.065748519,0.00010472,1.06E-10,0.05
20/8/2020,0.082861209,0.065748519,0.00010472,1.06E-10,0.05
21/8/2020,0.082861209,0.065748519,0.00010472,1.06E-10,0.05
22/8/2020,0.051312299,0.05282909,3.48E-05,1.02E-10,0.05
