date,cases_recovered,cases_active,deaths_total,icu_covid,vent_covid,susceptible
29/6/2020,70614,62733,4787,4160,721,59755750
30/6/2020,73543,65770,4951,5204,721,59749620
1/7/2020,76025,70041,5143,5764,708,59742675
2/7/2020,81999,72099,5235,6123,699,59734551
3/7/2020,86298,76433,5330,4931,776,59725823
4/7/2020,91227,80459,5438,5675,870,59716760
5/7/2020,93315,89150,5512,5925,859,59705907
6/7/2020,97848,93217,5685,6290,859,59697134
7/7/2020,102299,97626,5796,5915,864,59688163
8/7/2020,106842,103025,5988,6650,906,59678029
9/7/2020,113061,105527,6077,6103,914,59669219
10/7/2020,118232,113900,6206,6417,914,59655546
11/7/2020,127715,116626,6346,6648,878,59643197
12/7/2020,134874,122853,6457,6615,873,59629700
13/7/2020,138241,131436,6565,8131,873,59617642
14/7/2020,146279,134859,6658,9093,884,59606088
15/7/2020,160693,130767,6832,9347,902,59595592
16/7/2020,165591,138519,6939,9513,914,59582835
17/7/2020,178183,138883,7155,9784,1136,59569663
18/7/2020,182230,148074,7290,6790,1167,59556290
19/7/2020,191059,152386,7434,6761,1146,59543005
20/7/2020,194865,161944,7519,6738,1157,59529556
21/7/2020,208144,157825,7659,6616,1172,59520256
22/7/2020,229175,144769,7854,9419,1327,59512086
23/7/2020,236260,150262,8426,11798,2654,59498936
24/7/2020,245771,153702,8579,11776,2636,59485832
25/7/2020,263054,150113,8829,8200,2634,59471888
26/7/2020,265077,159982,9141,9581,2632,59459684
27/7/2020,274925,161253,9255,10341,2665,59448451
28/7/2020,287313,155663,9553,10832,2663,59441355
29/7/2020,297967,152051,9743,10184,2674,59434123
30/7/2020,309601,151539,9983,10902,2685,59422761
31/7/2020,326171,145700,10298,10292,2694,59411715
1/8/2020,342461,140231,10491,10528,2681,59400701
2/8/2020,347227,145424,10639,10642,2694,59390594
3/8/2020,358037,142596,10852,10489,2690,59382399
4/8/2020,363751,142086,11025,10462,1444,59377022
5/8/2020,377266,132682,11370,9547,1529,59372566
6/8/2020,387316,130777,11784,9469,1510,59364007
7/8/2020,394759,131335,12090,9455,1511,59355700
8/8/2020,404568,128513,12395,9577,1515,59348408
9/8/2020,411474,129018,12696,9396,1524,59340696
10/8/2020,417200,129765,12894,9171,1478,59334025
11/8/2020,426125,124366,13107,9189,1467,59330286
12/8/2020,432029,120843,13237,8809,1457,59327775
13/8/2020,437617,117806,13496,8722,1465,59324965
14/8/2020,461734,97375,13756,8758,1460,59321019
15/8/2020,466941,98157,14042,8500,1444,59314744
16/8/2020,472377,97113,14163,8493,1447,59310231
17/8/2020,477671,95349,14325,8187,1440,59306539
18/8/2020,485468,89950,14468,8112,1432,59303998
19/8/2020,491441,85953,14750,7855,1393,59301740
20/8/2020,497169,83982,14909,7744,1335,59297824
21/8/2020,500102,84734,15104,7561,1343,59293944
22/8/2020,504127,83882,15329,7461,1291,59290546
23/8/2020,506470,85102,15473,7484,1280,59286839
24/8/2020,516494,77734,15545,7407,1272,59284111
25/8/2020,520381,75424,15645,7387,1266,59282434
26/8/2020,525242,71981,15794,7468,1268,59280867
27/8/2020,531338,68375,15988,7381,1246,59278183
28/8/2020,533935,68237,16114,7241,1209,59275598
29/8/2020,536694,67209,16229,7233,1225,59273752
30/8/2020,538604,67480,16467,7208,1216,59271333
31/8/2020,540923,67619,16514,6221,1085,59268828
1/9/2020,549993,60413,16635,6235,1069,59266843
2/9/2020,553456,58054,16749,6052,1069,59265625
3/9/2020,554887,58833,16875,5957,985,59263289
4/9/2020,557818,58148,17049,5899,1004,59260869
5/9/2020,561204,56710,17164,5975,979,59258806
6/9/2020,563891,55728,17265,5942,979,59257000
7/9/2020,566555,54587,17375,5838,959,59255367
8/9/2020,567729,54143,17490,5850,946,59254522
9/9/2020,569935,52934,17572,5871,939,59253443
10/9/2020,573003,51774,17654,5737,935,59251453
11/9/2020,574587,52100,17751,5706,949,59249446
12/9/2020,576423,52111,17864,5706,949,59247486
13/9/2020,577906,52395,17913,5717,954,59245670
14/9/2020,579289,52571,17933,5139,953,59244091
15/9/2020,583126,49638,17985,4753,726,59243135
16/9/2020,584195,49199,18127,4780,713,59242363
17/9/2020,585303,49950,18191,4772,719,59240440
18/9/2020,586844,50470,18258,4772,714,59238312
19/9/2020,589434,49850,18343,4772,712,59236257
20/9/2020,590071,51159,18426,4772,712,59234228
21/9/2020,591208,51564,18439,4772,712,59232673
22/9/2020,592904,50554,18478,4754,704,59231948
23/9/2020,594229,50449,18604,4544,707,59230602
24/9/2020,595916,50580,18692,4629,700,59228696
25/9/2020,599149,49131,18769,4634,698,59226835
26/9/2020,601818,47913,18798,4634,698,59225355
27/9/2020,603721,46915,18862,4634,698,59224386
28/9/2020,604478,47404,18884,4634,698,59223118
29/9/2020,606520,46077,19072,4634,698,59222215
30/9/2020,608112,45307,19153,4647,693,59221312
1/10/2020,609584,45535,19220,4533,643,59219545
2/10/2020,611044,45688,19352,4185,600,59217800
3/10/2020,612763,45675,19395,4185,600,59216051
4/10/2020,614781,45511,19424,4406,600,59214168
5/10/2020,615684,46143,19462,4406,600,59212595
6/10/2020,616857,45856,19502,4406,600,59211669
7/10/2020,618127,45526,19589,4348,554,59210642
8/10/2020,618771,46650,19734,6176,530,59208729
9/10/2020,620081,46916,19894,6176,530,59206993
10/10/2020,622153,46346,20033,6176,530,59205352
11/10/2020,623765,47087,20044,6176,530,59202988
12/10/2020,624659,47764,20048,6176,530,59201413
13/10/2020,625574,47729,20056,6176,530,59200525
14/10/2020,626898,47565,20074,6176,530,59199347
15/10/2020,628301,48029,20084,6176,530,59197470
16/10/2020,629260,48832,20092,6176,530,59195700
17/10/2020,630436,49651,20116,6176,530,59193681
18/10/2020,634543,47467,20121,6176,530,59191753
19/10/2020,635257,48415,20121,6176,530,59190091
20/10/2020,639568,45554,20132,6176,530,59188630
21/10/2020,641706,44302,20296,6176,530,59187580
22/10/2020,642560,45495,20304,6183,559,59185525
23/10/2020,643523,46668,20324,4362,559,59183369
24/10/2020,644641,47440,20331,3992,549,59181472
25/10/2020,646170,47735,20341,3998,548,59179638
26/10/2020,646721,48801,20346,3998,548,59178016
27/10/2020,647833,48570,20356,3998,548,59177125
28/10/2020,648654,48822,20375,3998,548,59176033
29/10/2020,649935,49388,20391,3998,548,59174170
30/10/2020,653052,48312,20406,3998,548,59172114
31/10/2020,654182,49084,20416,4647,469,59170202
1/11/2020,655330,49696,20426,4260,476,59168432
2/11/2020,657500,48889,20434,4683,477,59167061
3/11/2020,659259,47898,20438,4349,485,59166289
4/11/2020,660185,48203,20448,4349,485,59165048
5/11/2020,671579,38512,20457,4443,485,59163336
6/11/2020,675593,36341,20480,4443,485,59161470
7/11/2020,678738,34950,20487,4832,475,59159709
8/11/2020,679688,35720,20498,4832,475,59157978
9/11/2020,680726,36053,20499,4922,420,59156606
10/11/2020,683194,34819,20512,4927,418,59155359
11/11/2020,686458,33269,20527,5016,422,59153630
12/11/2020,690903,30904,20587,5016,422,59151490
13/11/2020,692177,31951,20604,5016,422,59149152
14/11/2020,693261,33065,20619,5016,422,59146939
15/11/2020,693467,35077,20638,5016,422,59144702
16/11/2020,695496,34855,20673,5016,422,59142860
17/11/2020,696820,34762,20687,5016,422,59141615
18/11/2020,701534,32028,20694,5016,422,59139628
19/11/2020,702544,33889,20711,5016,422,59136740
20/11/2020,707040,31883,20735,5016,422,59134226
21/11/2020,707784,34156,20823,5281,451,59131121
22/11/2020,710099,34465,20845,5281,451,59128475
23/11/2020,711195,35581,20903,5281,451,59126205
24/11/2020,716444,32347,20968,5281,451,59124125
25/11/2020,716444,34725,21083,5281,451,59121632
26/11/2020,716444,37857,21201,5281,451,59118382
27/11/2020,722876,34406,21289,5281,451,59115313
28/11/2020,723347,37216,21378,5281,451,59111943
29/11/2020,730633,33067,21439,5281,451,59108745
30/11/2020,731242,34983,21477,5281,451,59106182
1/12/2020,732531,35938,21535,5281,451,59103880
2/12/2020,734305,36350,21644,5281,451,59101585
3/12/2020,739367,35396,21709,5281,451,59097412
4/12/2020,740450,38619,21803,5281,451,59093012
5/12/2020,744298,39543,21963,5281,451,59088080
6/12/2020,744780,43602,22067,6335,532,59083435
7/12/2020,745750,46609,22206,6151,600,59079319
8/12/2020,753072,42557,22249,6151,600,59076006
9/12/2020,754658,44799,22432,6151,600,59071995
10/12/2020,756671,49353,22574,6151,764,59065286
11/12/2020,758373,55644,22747,6151,764,59057120
12/12/2020,760118,62013,22952,6151,764,59048801
13/12/2020,761011,68848,23106,6151,764,59040919
14/12/2020,762746,74942,23276,6151,764,59032920
15/12/2020,764977,77699,23451,6151,764,59027757
16/12/2020,774585,75433,23661,6151,764,59020205
17/12/2020,780313,79547,23827,6151,764,59010197
18/12/2020,783818,84984,24011,6151,764,59001071
19/12/2020,787782,89471,24285,6151,764,58992346
20/12/2020,793914,94024,24539,6151,764,58981407
21/12/2020,796346,100885,24691,6151,764,58971962
22/12/2020,808241,97563,24907,6151,764,58963173
23/12/2020,811372,103594,25246,6151,764,58953672
24/12/2020,822978,105623,25657,6151,764,58939626
25/12/2020,830251,112329,25983,6151,764,58925321
26/12/2020,839194,117889,26276,7777,764,58910525
27/12/2020,844874,123516,26521,7777,830,58898973
