t,beta1,r1,sigma
6/6/2020,0.007843847,0.036711513,0.05
7/6/2020,0.007843847,0.036711513,0.05
8/6/2020,0.007843847,0.036711513,0.05
9/6/2020,0.009901634,0.049860825,0.05
10/6/2020,0.009901634,0.049860825,0.05
11/6/2020,0.009901634,0.049860825,0.05
12/6/2020,0.009901634,0.049860825,0.05
13/6/2020,0.009901634,0.049860825,0.05
14/6/2020,0.009901634,0.049860825,0.05
15/6/2020,0.009901634,0.049860825,0.05
16/6/2020,0.009901634,0.049860825,0.05
17/6/2020,0.013511813,0.043884551,0.05
18/6/2020,0.013511813,0.043884551,0.05
19/6/2020,0.013511813,0.043884551,0.05
20/6/2020,0.013511813,0.043884551,0.05
21/6/2020,0.013511813,0.043884551,0.05
22/6/2020,0.013511813,0.043884551,0.05
23/6/2020,0.013511813,0.043884551,0.05
24/6/2020,0.013511813,0.043884551,0.05
25/6/2020,0.013511813,0.043884551,0.05
26/6/2020,0.013511813,0.043884551,0.05
27/6/2020,0.013511813,0.043884551,0.05
28/6/2020,0.013511813,0.043884551,0.05
29/6/2020,0.013511813,0.043884551,0.05
30/6/2020,0.014153682,0.026048146,0.05
1/7/2020,0.014153682,0.026048146,0.05
2/7/2020,0.014153682,0.026048146,0.05
3/7/2020,0.014153682,0.026048146,0.05
4/7/2020,0.014153682,0.026048146,0.05
5/7/2020,0.014153682,0.026048146,0.05
6/7/2020,0.014153682,0.026048146,0.05
7/7/2020,0.014153682,0.026048146,0.05
8/7/2020,0.014153682,0.026048146,0.05
9/7/2020,0.014153682,0.026048146,0.05
10/7/2020,0.014153682,0.026048146,0.05
11/7/2020,0.014153682,0.026048146,0.05
12/7/2020,0.014153682,0.026048146,0.05
13/7/2020,0.014153682,0.026048146,0.05
14/7/2020,0.014153682,0.026048146,0.05
15/7/2020,0.014153682,0.026048146,0.05
16/7/2020,0.014153682,0.026048146,0.05
17/7/2020,0.014153682,0.026048146,0.05
18/7/2020,0.014153682,0.026048146,0.05
19/7/2020,0.01869926,0.016999914,0.05
20/7/2020,0.01869926,0.016999914,0.05
21/7/2020,0.01869926,0.016999914,0.05
22/7/2020,0.01869926,0.016999914,0.05
23/7/2020,0.01869926,0.016999914,0.05
24/7/2020,0.01869926,0.016999914,0.05
25/7/2020,0.01869926,0.016999914,0.05
26/7/2020,0.01869926,0.016999914,0.05
27/7/2020,0.01869926,0.016999914,0.05
28/7/2020,0.02352471,0.022424725,0.05
29/7/2020,0.02352471,0.022424725,0.05
30/7/2020,0.02352471,0.022424725,0.05
31/7/2020,0.02352471,0.022424725,0.05
1/8/2020,0.02352471,0.022424725,0.05
2/8/2020,0.02352471,0.022424725,0.05
3/8/2020,0.02352471,0.022424725,0.05
4/8/2020,0.02352471,0.022424725,0.05
5/8/2020,0.02352471,0.022424725,0.05
6/8/2020,0.02352471,0.022424725,0.05
7/8/2020,0.036299276,0.017822793,0.05
8/8/2020,0.036299276,0.017822793,0.05
9/8/2020,0.036299276,0.017822793,0.05
10/8/2020,0.036299276,0.017822793,0.05
11/8/2020,0.036299276,0.017822793,0.05
12/8/2020,0.036299276,0.017822793,0.05
13/8/2020,0.036299276,0.017822793,0.05
14/8/2020,0.036299276,0.017822793,0.05
15/8/2020,0.036299276,0.017822793,0.05
16/8/2020,0.036299276,0.017822793,0.05
17/8/2020,0.036299276,0.017822793,0.05
18/8/2020,0.036299276,0.017822793,0.05
19/8/2020,0.036299276,0.017822793,0.05
20/8/2020,0.036299276,0.017822793,0.05
21/8/2020,0.036299276,0.017822793,0.05
22/8/2020,0.051174655,0.015222196,0.05
23/8/2020,0.051174655,0.015222196,0.05
24/8/2020,0.051174655,0.015222196,0.05
25/8/2020,0.051174655,0.015222196,0.05
26/8/2020,0.051174655,0.015222196,0.05
27/8/2020,0.051174655,0.015222196,0.05
28/8/2020,0.051174655,0.015222196,0.05
29/8/2020,0.051174655,0.015222196,0.05
30/8/2020,0.051174655,0.015222196,0.05
31/8/2020,0.051174655,0.015222196,0.05
1/9/2020,0.051174655,0.015222196,0.05
2/9/2020,0.051174655,0.015222196,0.05
3/9/2020,0.051174655,0.015222196,0.05
4/9/2020,0.051174655,0.015222196,0.05
5/9/2020,0.051174655,0.015222196,0.05
6/9/2020,0.051174655,0.015222196,0.05
7/9/2020,0.051174655,0.015222196,0.05
8/9/2020,0.051174655,0.015222196,0.05
9/9/2020,0.051174655,0.015222196,0.05
10/9/2020,0.051174655,0.015222196,0.05
11/9/2020,0.051174655,0.015222196,0.05
12/9/2020,0.03775955,0.0158474,0.05
13/9/2020,0.03775955,0.0158474,0.05
14/9/2020,0.03775955,0.0158474,0.05
15/9/2020,0.03775955,0.0158474,0.05
16/9/2020,0.03775955,0.0158474,0.05
17/9/2020,0.03775955,0.0158474,0.05
18/9/2020,0.03775955,0.0158474,0.05
19/9/2020,0.03775955,0.0158474,0.05
20/9/2020,0.03775955,0.0158474,0.05
21/9/2020,0.06409514,0.01969515,0.05
22/9/2020,0.06409514,0.01969515,0.05
23/9/2020,0.06409514,0.01969515,0.05
24/9/2020,0.06409514,0.01969515,0.05
25/9/2020,0.06409514,0.01969515,0.05
26/9/2020,0.06409514,0.01969515,0.05
27/9/2020,0.06409514,0.01969515,0.05
28/9/2020,0.06409514,0.01969515,0.05
29/9/2020,0.06409514,0.01969515,0.05
30/9/2020,0.06409514,0.01969515,0.05
1/10/2020,0.06409514,0.01969515,0.05
2/10/2020,0.06409514,0.01969515,0.05
3/10/2020,0.06409514,0.01969515,0.05
4/10/2020,0.06409514,0.01969515,0.05
5/10/2020,0.06409514,0.01969515,0.05
6/10/2020,0.06409514,0.01969515,0.05
7/10/2020,0.06409514,0.01969515,0.05
8/10/2020,0.06409514,0.01969515,0.05
9/10/2020,0.06409514,0.01969515,0.05
10/10/2020,0.06409514,0.01969515,0.05
11/10/2020,0.06409514,0.01969515,0.05
12/10/2020,0.06409514,0.01969515,0.05
13/10/2020,0.06409514,0.01969515,0.05
14/10/2020,0.06409514,0.01969515,0.05
15/10/2020,0.06409514,0.01969515,0.05
16/10/2020,0.06409514,0.01969515,0.05
17/10/2020,0.06409514,0.01969515,0.05
18/10/2020,0.06409514,0.01969515,0.05
19/10/2020,0.06409514,0.01969515,0.05
20/10/2020,0.06409514,0.01969515,0.05
21/10/2020,0.06409514,0.01969515,0.05
22/10/2020,0.06409514,0.01969515,0.05
23/10/2020,0.06409514,0.01969515,0.05
24/10/2020,0.06409514,0.01969515,0.05
25/10/2020,0.067668635,0.021786538,0.05
26/10/2020,0.067668635,0.021786538,0.05
27/10/2020,0.067668635,0.021786538,0.05
28/10/2020,0.067668635,0.021786538,0.05
29/10/2020,0.067668635,0.021786538,0.05
30/10/2020,0.067668635,0.021786538,0.05
31/10/2020,0.067668635,0.021786538,0.05
1/11/2020,0.067668635,0.021786538,0.05
2/11/2020,0.067668635,0.021786538,0.05
3/11/2020,0.067668635,0.021786538,0.05
4/11/2020,0.067668635,0.021786538,0.05
5/11/2020,0.067668635,0.021786538,0.05
6/11/2020,0.067668635,0.021786538,0.05
7/11/2020,0.067668635,0.021786538,0.05
8/11/2020,0.067668635,0.021786538,0.05
9/11/2020,0.067668635,0.021786538,0.05
10/11/2020,0.067668635,0.021786538,0.05
11/11/2020,0.067668635,0.021786538,0.05
12/11/2020,0.067668635,0.021786538,0.05
13/11/2020,0.067668635,0.021786538,0.05
14/11/2020,0.067668635,0.021786538,0.05
15/11/2020,0.067668635,0.021786538,0.05
16/11/2020,0.067668635,0.021786538,0.05
17/11/2020,0.067668635,0.021786538,0.05
18/11/2020,0.067668635,0.021786538,0.05
19/11/2020,0.067668635,0.021786538,0.05
20/11/2020,0.067668635,0.021786538,0.05
21/11/2020,0.067668635,0.021786538,0.05
22/11/2020,0.067668635,0.021786538,0.05
23/11/2020,0.030711325,0.03440886,0.05
24/11/2020,0.030711325,0.03440886,0.05
25/11/2020,0.030711325,0.03440886,0.05
26/11/2020,0.030711325,0.03440886,0.05
27/11/2020,0.030711325,0.03440886,0.05
28/11/2020,0.030711325,0.03440886,0.05
29/11/2020,0.030711325,0.03440886,0.05
30/11/2020,0.030711325,0.03440886,0.05
1/12/2020,0.030711325,0.03440886,0.05
2/12/2020,0.030711325,0.03440886,0.05
3/12/2020,0.030711325,0.03440886,0.05
4/12/2020,0.030711325,0.03440886,0.05
5/12/2020,0.030711325,0.03440886,0.05
6/12/2020,0.030711325,0.03440886,0.05
7/12/2020,0.024565058,0.038591161,0.05
8/12/2020,0.024565058,0.038591161,0.05
9/12/2020,0.024565058,0.038591161,0.05
10/12/2020,0.024565058,0.038591161,0.05
11/12/2020,0.024565058,0.038591161,0.05
12/12/2020,0.024565058,0.038591161,0.05
13/12/2020,0.024565058,0.038591161,0.05
14/12/2020,0.024565058,0.038591161,0.05
15/12/2020,0.024565058,0.038591161,0.05
16/12/2020,0.024565058,0.038591161,0.05
17/12/2020,0.024565058,0.038591161,0.05
18/12/2020,0.024565058,0.038591161,0.05
19/12/2020,0.024565058,0.038591161,0.05
20/12/2020,0.022958769,0.033823931,0.05
21/12/2020,0.022958769,0.033823931,0.05
22/12/2020,0.022958769,0.033823931,0.05
23/12/2020,0.022958769,0.033823931,0.05
24/12/2020,0.022958769,0.033823931,0.05
25/12/2020,0.022958769,0.033823931,0.05
26/12/2020,0.022958769,0.033823931,0.05
27/12/2020,0.022958769,0.033823931,0.05
28/12/2020,0.022958769,0.033823931,0.05
29/12/2020,0.029726597,0.030265095,0.05
30/12/2020,0.029726597,0.030265095,0.05
31/12/2020,0.029726597,0.030265095,0.05
1/1/2021,0.029726597,0.030265095,0.05
2/1/2021,0.029726597,0.030265095,0.05
3/1/2021,0.029726597,0.030265095,0.05
4/1/2021,0.029726597,0.030265095,0.05
5/1/2021,0.029726597,0.030265095,0.05
6/1/2021,0.029726597,0.030265095,0.05
7/1/2021,0.029726597,0.030265095,0.05
8/1/2021,0.029726597,0.030265095,0.05
9/1/2021,0.029726597,0.030265095,0.05
10/1/2021,0.029726597,0.030265095,0.05
11/1/2021,0.029726597,0.030265095,0.05
12/1/2021,0.029726597,0.030265095,0.05
13/1/2021,0.029726597,0.030265095,0.05
14/1/2021,0.029726597,0.030265095,0.05
15/1/2021,0.029726597,0.030265095,0.05
16/1/2021,0.024467887,0.039705158,0.05
17/1/2021,0.024467887,0.039705158,0.05
18/1/2021,0.024467887,0.039705158,0.05
19/1/2021,0.024467887,0.039705158,0.05
20/1/2021,0.024467887,0.039705158,0.05
21/1/2021,0.024467887,0.039705158,0.05
22/1/2021,0.024467887,0.039705158,0.05
23/1/2021,0.024467887,0.039705158,0.05
24/1/2021,0.024467887,0.039705158,0.05
25/1/2021,0.025985165,0.037177498,0.05
