t,beta1,r1,d1,gamma,sigma
14/6/2020,0.025596978,0.142700064,0.000261143,1.01E-10,0.05
15/6/2020,0.025596978,0.142700064,0.000261143,1.01E-10,0.05
16/6/2020,0.025596978,0.142700064,0.000261143,1.01E-10,0.05
17/6/2020,0.025596978,0.142700064,0.000261143,1.01E-10,0.05
18/6/2020,0.025596978,0.142700064,0.000261143,1.01E-10,0.05
19/6/2020,0.025596978,0.142700064,0.000261143,1.01E-10,0.05
20/6/2020,0.025596978,0.142700064,0.000261143,1.01E-10,0.05
21/6/2020,0.042467892,0.131950918,0.000223774,9.55E-11,0.05
22/6/2020,0.042467892,0.131950918,0.000223774,9.55E-11,0.05
23/6/2020,0.042467892,0.131950918,0.000223774,9.55E-11,0.05
24/6/2020,0.042467892,0.131950918,0.000223774,9.55E-11,0.05
25/6/2020,0.042467892,0.131950918,0.000223774,9.55E-11,0.05
26/6/2020,0.042467892,0.131950918,0.000223774,9.55E-11,0.05
27/6/2020,0.042467892,0.131950918,0.000223774,9.55E-11,0.05
28/6/2020,0.042467892,0.131950918,0.000223774,9.55E-11,0.05
29/6/2020,0.042467892,0.131950918,0.000223774,9.55E-11,0.05
30/6/2020,0.042467892,0.131950918,0.000223774,9.55E-11,0.05
1/7/2020,0.042467892,0.131950918,0.000223774,9.55E-11,0.05
2/7/2020,0.042467892,0.131950918,0.000223774,9.55E-11,0.05
3/7/2020,0.042467892,0.131950918,0.000223774,9.55E-11,0.05
4/7/2020,0.042467892,0.131950918,0.000223774,9.55E-11,0.05
5/7/2020,0.042467892,0.131950918,0.000223774,9.55E-11,0.05
6/7/2020,0.108580431,0.080799014,0.002369186,9.97E-11,0.05
7/7/2020,0.108580431,0.080799014,0.002369186,9.97E-11,0.05
8/7/2020,0.108580431,0.080799014,0.002369186,9.97E-11,0.05
9/7/2020,0.108580431,0.080799014,0.002369186,9.97E-11,0.05
10/7/2020,0.108580431,0.080799014,0.002369186,9.97E-11,0.05
11/7/2020,0.108580431,0.080799014,0.002369186,9.97E-11,0.05
12/7/2020,0.108580431,0.080799014,0.002369186,9.97E-11,0.05
13/7/2020,0.108580431,0.080799014,0.002369186,9.97E-11,0.05
14/7/2020,0.108580431,0.080799014,0.002369186,9.97E-11,0.05
15/7/2020,0.108580431,0.080799014,0.002369186,9.97E-11,0.05
16/7/2020,0.108580431,0.080799014,0.002369186,9.97E-11,0.05
17/7/2020,0.108580431,0.080799014,0.002369186,9.97E-11,0.05
18/7/2020,0.105118525,0.047558881,0.000839549,1.03E-10,0.05
19/7/2020,0.105118525,0.047558881,0.000839549,1.03E-10,0.05
20/7/2020,0.105118525,0.047558881,0.000839549,1.03E-10,0.05
21/7/2020,0.105118525,0.047558881,0.000839549,1.03E-10,0.05
22/7/2020,0.105118525,0.047558881,0.000839549,1.03E-10,0.05
23/7/2020,0.105118525,0.047558881,0.000839549,1.03E-10,0.05
24/7/2020,0.105118525,0.047558881,0.000839549,1.03E-10,0.05
25/7/2020,0.105118525,0.047558881,0.000839549,1.03E-10,0.05
26/7/2020,0.105118525,0.047558881,0.000839549,1.03E-10,0.05
27/7/2020,0.105118525,0.047558881,0.000839549,1.03E-10,0.05
28/7/2020,0.105118525,0.047558881,0.000839549,1.03E-10,0.05
