t,beta1,r1,d1,gamma,sigma
5/7/2020,0.069791343,0.032706256,0.002748654,9.75E-05,0.05
6/7/2020,0.069791343,0.032706256,0.002748654,9.75E-05,0.05
7/7/2020,0.069791343,0.032706256,0.002748654,9.75E-05,0.05
8/7/2020,0.069791343,0.032706256,0.002748654,9.75E-05,0.05
9/7/2020,0.069791343,0.032706256,0.002748654,9.75E-05,0.05
10/7/2020,0.069791343,0.032706256,0.002748654,9.75E-05,0.05
11/7/2020,0.069791343,0.032706256,0.002748654,9.75E-05,0.05
12/7/2020,0.069791343,0.032706256,0.002748654,9.75E-05,0.05
13/7/2020,0.076328201,0.058416019,0.002540677,0.00010035,0.05
14/7/2020,0.076328201,0.058416019,0.002540677,0.00010035,0.05
15/7/2020,0.076328201,0.058416019,0.002540677,0.00010035,0.05
16/7/2020,0.076328201,0.058416019,0.002540677,0.00010035,0.05
17/7/2020,0.076328201,0.058416019,0.002540677,0.00010035,0.05
18/7/2020,0.076328201,0.058416019,0.002540677,0.00010035,0.05
19/7/2020,0.080386301,0.049195127,0.002427137,0.000102076,0.05
20/7/2020,0.080386301,0.049195127,0.002427137,0.000102076,0.05
21/7/2020,0.080386301,0.049195127,0.002427137,0.000102076,0.05
22/7/2020,0.080386301,0.049195127,0.002427137,0.000102076,0.05
23/7/2020,0.080386301,0.049195127,0.002427137,0.000102076,0.05
24/7/2020,0.082245158,0.058550465,0.002701276,9.92E-05,0.05
25/7/2020,0.082245158,0.058550465,0.002701276,9.92E-05,0.05
26/7/2020,0.082245158,0.058550465,0.002701276,9.92E-05,0.05
27/7/2020,0.082245158,0.058550465,0.002701276,9.92E-05,0.05
28/7/2020,0.082245158,0.058550465,0.002701276,9.92E-05,0.05
29/7/2020,0.082245158,0.058550465,0.002701276,9.92E-05,0.05
30/7/2020,0.076907528,0.055801239,0.002505075,0.000101479,0.05
31/7/2020,0.076907528,0.055801239,0.002505075,0.000101479,0.05
1/8/2020,0.076907528,0.055801239,0.002505075,0.000101479,0.05
2/8/2020,0.076907528,0.055801239,0.002505075,0.000101479,0.05
3/8/2020,0.076907528,0.055801239,0.002505075,0.000101479,0.05
4/8/2020,0.076907528,0.055801239,0.002505075,0.000101479,0.05
5/8/2020,0.076907528,0.055801239,0.002505075,0.000101479,0.05
6/8/2020,0.076907528,0.055801239,0.002505075,0.000101479,0.05
7/8/2020,0.076907528,0.055801239,0.002505075,0.000101479,0.05
8/8/2020,0.076907528,0.055801239,0.002505075,0.000101479,0.05
9/8/2020,0.076907528,0.055801239,0.002505075,0.000101479,0.05
10/8/2020,0.076907528,0.055801239,0.002505075,0.000101479,0.05
11/8/2020,0.076907528,0.055801239,0.002505075,0.000101479,0.05
12/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
13/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
14/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
15/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
16/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
17/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
18/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
19/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
20/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
21/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
22/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
23/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
24/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
25/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
26/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
27/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
28/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
29/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
30/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
31/8/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
1/9/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
2/9/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
3/9/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
4/9/2020,0.078366111,0.085151445,0.002393269,0.000100568,0.05
5/9/2020,0.080250989,0.115918677,0.002551294,9.97E-05,0.05
6/9/2020,0.080250989,0.115918677,0.002551294,9.97E-05,0.05
7/9/2020,0.080250989,0.115918677,0.002551294,9.97E-05,0.05
8/9/2020,0.080250989,0.115918677,0.002551294,9.97E-05,0.05
9/9/2020,0.080250989,0.115918677,0.002551294,9.97E-05,0.05
10/9/2020,0.080250989,0.115918677,0.002551294,9.97E-05,0.05
11/9/2020,0.080250989,0.115918677,0.002551294,9.97E-05,0.05
12/9/2020,0.080250989,0.115918677,0.002551294,9.97E-05,0.05
13/9/2020,0.072924989,0.053688494,0.00212175,0.00010533,0.05
14/9/2020,0.072924989,0.053688494,0.00212175,0.00010533,0.05
15/9/2020,0.072924989,0.053688494,0.00212175,0.00010533,0.05
16/9/2020,0.072924989,0.053688494,0.00212175,0.00010533,0.05
17/9/2020,0.072924989,0.053688494,0.00212175,0.00010533,0.05
18/9/2020,0.072924989,0.053688494,0.00212175,0.00010533,0.05
19/9/2020,0.072924989,0.053688494,0.00212175,0.00010533,0.05
20/9/2020,0.072924989,0.053688494,0.00212175,0.00010533,0.05
21/9/2020,0.072924989,0.053688494,0.00212175,0.00010533,0.05
22/9/2020,0.102239908,0.158613765,0.002803341,0.000104113,0.05
23/9/2020,0.102239908,0.158613765,0.002803341,0.000104113,0.05
24/9/2020,0.102239908,0.158613765,0.002803341,0.000104113,0.05
25/9/2020,0.102239908,0.158613765,0.002803341,0.000104113,0.05
26/9/2020,0.102239908,0.158613765,0.002803341,0.000104113,0.05
27/9/2020,0.102239908,0.158613765,0.002803341,0.000104113,0.05
28/9/2020,0.102239908,0.158613765,0.002803341,0.000104113,0.05
29/9/2020,0.102239908,0.158613765,0.002803341,0.000104113,0.05
30/9/2020,0.102239908,0.158613765,0.002803341,0.000104113,0.05
1/10/2020,0.102239908,0.158613765,0.002803341,0.000104113,0.05
2/10/2020,0.117214309,0.075173277,0.002789986,9.61E-05,0.05
3/10/2020,0.117214309,0.075173277,0.002789986,9.61E-05,0.05
4/10/2020,0.117214309,0.075173277,0.002789986,9.61E-05,0.05
5/10/2020,0.117214309,0.075173277,0.002789986,9.61E-05,0.05
6/10/2020,0.117214309,0.075173277,0.002789986,9.61E-05,0.05
7/10/2020,0.117214309,0.075173277,0.002789986,9.61E-05,0.05
8/10/2020,0.117214309,0.075173277,0.002789986,9.61E-05,0.05
9/10/2020,0.117214309,0.075173277,0.002789986,9.61E-05,0.05
10/10/2020,0.117214309,0.075173277,0.002789986,9.61E-05,0.05
11/10/2020,0.117214309,0.075173277,0.002789986,9.61E-05,0.05
12/10/2020,0.117214309,0.075173277,0.002789986,9.61E-05,0.05
13/10/2020,0.113900083,0.153558431,0.002691729,0.000100721,0.05
14/10/2020,0.113900083,0.153558431,0.002691729,0.000100721,0.05
15/10/2020,0.113900083,0.153558431,0.002691729,0.000100721,0.05
16/10/2020,0.113900083,0.153558431,0.002691729,0.000100721,0.05
17/10/2020,0.113900083,0.153558431,0.002691729,0.000100721,0.05
18/10/2020,0.113900083,0.153558431,0.002691729,0.000100721,0.05
19/10/2020,0.113900083,0.153558431,0.002691729,0.000100721,0.05
20/10/2020,0.113900083,0.153558431,0.002691729,0.000100721,0.05
21/10/2020,0.113900083,0.153558431,0.002691729,0.000100721,0.05
22/10/2020,0.172243679,0.149863377,0.003484705,0.000102946,0.05
23/10/2020,0.172243679,0.149863377,0.003484705,0.000102946,0.05
24/10/2020,0.172243679,0.149863377,0.003484705,0.000102946,0.05
25/10/2020,0.172243679,0.149863377,0.003484705,0.000102946,0.05
26/10/2020,0.172243679,0.149863377,0.003484705,0.000102946,0.05
27/10/2020,0.172243679,0.149863377,0.003484705,0.000102946,0.05
28/10/2020,0.172243679,0.149863377,0.003484705,0.000102946,0.05
29/10/2020,0.172243679,0.149863377,0.003484705,0.000102946,0.05
30/10/2020,0.172243679,0.149863377,0.003484705,0.000102946,0.05
31/10/2020,0.172243679,0.149863377,0.003484705,0.000102946,0.05
1/11/2020,0.172243679,0.149863377,0.003484705,0.000102946,0.05
