date,cases_recovered,cases_active,deaths_total,susceptible
17/7/2020,98281,1762,8773,38345512
18/7/2020,98436,2027,8790,38345075
19/7/2020,98564,2292,8802,38344670
20/7/2020,98975,2202,8811,38344340
21/7/2020,99248,2264,8815,38344001
22/7/2020,99501,2791,8821,38343215
23/7/2020,99937,2922,8825,38342644
24/7/2020,100504,2890,8833,38342101
25/7/2020,100765,3057,8837,38341669
26/7/2020,100969,3380,8844,38341135
27/7/2020,101447,3248,8848,38340785
28/7/2020,101686,3360,8852,38340430
29/7/2020,101992,3729,8863,38339744
30/7/2020,102344,3762,8874,38339348
31/7/2020,102906,3605,8881,38338936
1/8/2020,103072,3822,8891,38338543
2/8/2020,103201,4200,8897,38338030
3/8/2020,103284,4398,8903,38337743
4/8/2020,104058,3905,8907,38337458
5/8/2020,104377,3731,8909,38337311
6/8/2020,104678,4179,8920,38336551
7/8/2020,105128,4120,8924,38336156
8/8/2020,105255,4363,8928,38335782
9/8/2020,105420,4618,8932,38335358
10/8/2020,108050,2218,8938,38335122
11/8/2020,108465,2028,8943,38334892
12/8/2020,108829,2339,8949,38334211
13/8/2020,109260,2193,8953,38333922
14/8/2020,109657,2204,8968,38333499
15/8/2020,109933,2324,8977,38333094
16/8/2020,110202,2468,8982,38332676
17/8/2020,110433,2470,8986,38332439
18/8/2020,111092,2007,8988,38332241
19/8/2020,111559,2319,8994,38331456
20/8/2020,111811,2336,9007,38331174
21/8/2020,112381,2097,9012,38330838
22/8/2020,112621,2236,9016,38330455
23/8/2020,112836,2510,9026,38329956
24/8/2020,113449,2147,9033,38329699
25/8/2020,113809,2052,9035,38329432
26/8/2020,114220,2381,9045,38328682
27/8/2020,114610,2307,9052,38328359
28/8/2020,115029,2332,9056,38327911
29/8/2020,115294,2490,9064,38327480
30/8/2020,115460,2775,9075,38327018
31/8/2020,116020,2578,9075,38326655
1/9/2020,116432,2429,9079,38326388
2/9/2020,116866,2994,9088,38325380
3/9/2020,117277,3054,9094,38324903
4/9/2020,117755,3071,9097,38324405
5/9/2020,117968,3422,9103,38323835
6/9/2020,118192,3828,9104,38323204
7/9/2020,118386,4003,9106,38322833
8/9/2020,119420,3368,9107,38322433
9/9/2020,119789,3245,9108,38322186
10/9/2020,120848,3785,9115,38320580
11/9/2020,121537,3640,9117,38320034
12/9/2020,121944,3855,9125,38319404
13/9/2020,122266,4234,9126,38318702
14/9/2020,123120,3889,9132,38318187
15/9/2020,123777,3749,9133,38317669
16/9/2020,124412,4457,9141,38316318
17/9/2020,124984,4669,9150,38315525
18/9/2020,125654,4938,9155,38314581
19/9/2020,125984,5721,9162,38313461
20/9/2020,126592,6152,9167,38312417
21/9/2020,127684,5917,9173,38311554
22/9/2020,128890,5580,9179,38310679
23/9/2020,129850,6375,9190,38308913
24/9/2020,130576,6891,9196,38307665
25/9/2020,131709,6839,9205,38306575
26/9/2020,132253,7630,9211,38305234
27/9/2020,133204,8035,9217,38303872
28/9/2020,134551,7896,9224,38302657
29/9/2020,135765,8131,9229,38301203
30/9/2020,137181,8881,9239,38299027
1/10/2020,138548,9161,9252,38297367
2/10/2020,139817,9683,9258,38295570
3/10/2020,140711,10544,9280,38293793
4/10/2020,142502,10787,9370,38291669
5/10/2020,144653,10395,9423,38289857
6/10/2020,146429,10285,9442,38288172
7/10/2020,147814,11681,9465,38285368
8/10/2020,149692,12140,9491,38283005
9/10/2020,152046,11575,9502,38281205
10/10/2020,153857,12187,9515,38278769
11/10/2020,155901,12671,9545,38276211
12/10/2020,156940,13671,9568,38274149
13/10/2020,160223,12068,9573,38272464
14/10/2020,162064,11186,9589,38271489
15/10/2020,164154,13114,9613,38267447
16/10/2020,166313,13449,9623,38264943
17/10/2020,166444,15628,9658,38262598
18/10/2020,169751,14674,9681,38260222
19/10/2020,172406,14211,9704,38258007
20/10/2020,174514,13916,9718,38256180
21/10/2020,171405,20296,9736,38252891
22/10/2020,173299,20638,9751,38250640
23/10/2020,180626,15948,9786,38247968
