t,beta1,beta2,beta3,r1,r2,r3,d1,d2,d3,p1,p2,p3,gamma,sigma
9/4/2020,0.042977658,0.002629819,0.000786584,0.017707309,0.013014858,0.014165854,0.005326434,0.004660629,0.006658041,0.727592188,0.245040522,0.027366895,0.0001,0.05
10/4/2020,0.042977658,0.002629819,0.000786584,0.017707309,0.013014858,0.014165854,0.005326434,0.004660629,0.006658041,0.727592188,0.245040522,0.027366895,0.0001,0.05
11/4/2020,0.042977658,0.002629819,0.000786584,0.017707309,0.013014858,0.014165854,0.005326434,0.004660629,0.006658041,0.727592188,0.245040522,0.027366895,0.0001,0.05
12/4/2020,0.042977658,0.002629819,0.000786584,0.017707309,0.013014858,0.014165854,0.005326434,0.004660629,0.006658041,0.727592188,0.245040522,0.027366895,0.0001,0.05
13/4/2020,0.042977658,0.002629819,0.000786584,0.017707309,0.013014858,0.014165854,0.005326434,0.004660629,0.006658041,0.727592188,0.245040522,0.027366895,0.0001,0.05
14/4/2020,0.042977658,0.002629819,0.000786584,0.017707309,0.013014858,0.014165854,0.005326434,0.004660629,0.006658041,0.727592188,0.245040522,0.027366895,0.0001,0.05
15/4/2020,0.042977658,0.002629819,0.000786584,0.017707309,0.013014858,0.014165854,0.005326434,0.004660629,0.006658041,0.727592188,0.245040522,0.027366895,0.0001,0.05
16/4/2020,0.042977658,0.002629819,0.000786584,0.017707309,0.013014858,0.014165854,0.005326434,0.004660629,0.006658041,0.727592188,0.245040522,0.027366895,0.0001,0.05
17/4/2020,0.042977658,0.002629819,0.000786584,0.017707309,0.013014858,0.014165854,0.005326434,0.004660629,0.006658041,0.727592188,0.245040522,0.027366895,0.0001,0.05
18/4/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
19/4/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
20/4/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
21/4/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
22/4/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
23/4/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
24/4/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
25/4/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
26/4/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
27/4/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
28/4/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
29/4/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
30/4/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
1/5/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
2/5/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
3/5/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
4/5/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
5/5/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
6/5/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
7/5/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
8/5/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
9/5/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
10/5/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
11/5/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
12/5/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
13/5/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
14/5/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
15/5/2020,0.018904791,0.006180832,0.000717951,0.030245116,0.021107298,0.023782631,0.002649719,0.002318504,0.003238215,0.827087068,0.169462301,0.014278879,9.57E-05,0.05
16/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
17/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
18/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
19/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
20/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
21/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
22/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
23/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
24/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
25/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
26/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
27/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
28/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
29/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
30/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
31/5/2020,0.009905835,0.005281852,0.000370863,0.039469,0.028105518,0.032479337,0.001603387,0.001388137,0.002000108,0.861925927,0.13949058,0.009203891,0.000101147,0.05
1/6/2020,0.009657409,0.006607424,0.000415108,0.04161999,0.029192967,0.032981681,0.001553311,0.001370218,0.001931767,0.867397375,0.128555039,0.00725773,0.000101169,0.05
2/6/2020,0.009657409,0.006607424,0.000415108,0.04161999,0.029192967,0.032981681,0.001553311,0.001370218,0.001931767,0.867397375,0.128555039,0.00725773,0.000101169,0.05
3/6/2020,0.009657409,0.006607424,0.000415108,0.04161999,0.029192967,0.032981681,0.001553311,0.001370218,0.001931767,0.867397375,0.128555039,0.00725773,0.000101169,0.05
4/6/2020,0.009657409,0.006607424,0.000415108,0.04161999,0.029192967,0.032981681,0.001553311,0.001370218,0.001931767,0.867397375,0.128555039,0.00725773,0.000101169,0.05
5/6/2020,0.009657409,0.006607424,0.000415108,0.04161999,0.029192967,0.032981681,0.001553311,0.001370218,0.001931767,0.867397375,0.128555039,0.00725773,0.000101169,0.05
6/6/2020,0.009657409,0.006607424,0.000415108,0.04161999,0.029192967,0.032981681,0.001553311,0.001370218,0.001931767,0.867397375,0.128555039,0.00725773,0.000101169,0.05
7/6/2020,0.009657409,0.006607424,0.000415108,0.04161999,0.029192967,0.032981681,0.001553311,0.001370218,0.001931767,0.867397375,0.128555039,0.00725773,0.000101169,0.05
8/6/2020,0.009657409,0.006607424,0.000415108,0.04161999,0.029192967,0.032981681,0.001553311,0.001370218,0.001931767,0.867397375,0.128555039,0.00725773,0.000101169,0.05
9/6/2020,0.009657409,0.006607424,0.000415108,0.04161999,0.029192967,0.032981681,0.001553311,0.001370218,0.001931767,0.867397375,0.128555039,0.00725773,0.000101169,0.05
10/6/2020,0.009657409,0.006607424,0.000415108,0.04161999,0.029192967,0.032981681,0.001553311,0.001370218,0.001931767,0.867397375,0.128555039,0.00725773,0.000101169,0.05
11/6/2020,0.009657409,0.006607424,0.000415108,0.04161999,0.029192967,0.032981681,0.001553311,0.001370218,0.001931767,0.867397375,0.128555039,0.00725773,0.000101169,0.05
12/6/2020,0.009657409,0.006607424,0.000415108,0.04161999,0.029192967,0.032981681,0.001553311,0.001370218,0.001931767,0.867397375,0.128555039,0.00725773,0.000101169,0.05
13/6/2020,0.009657409,0.006607424,0.000415108,0.04161999,0.029192967,0.032981681,0.001553311,0.001370218,0.001931767,0.867397375,0.128555039,0.00725773,0.000101169,0.05
14/6/2020,0.009657409,0.006607424,0.000415108,0.04161999,0.029192967,0.032981681,0.001553311,0.001370218,0.001931767,0.867397375,0.128555039,0.00725773,0.000101169,0.05
15/6/2020,0.009657409,0.006607424,0.000415108,0.04161999,0.029192967,0.032981681,0.001553311,0.001370218,0.001931767,0.867397375,0.128555039,0.00725773,0.000101169,0.05
