t,beta1,r1,sigma
30/1/2020,0.127205688,0.024743994,0.05
31/1/2020,0.127205688,0.024743994,0.05
1/2/2020,0.127205688,0.024743994,0.05
2/2/2020,0.127205688,0.024743994,0.05
3/2/2020,0.127205688,0.024743994,0.05
4/2/2020,0.127205688,0.024743994,0.05
5/2/2020,0.127205688,0.024743994,0.05
6/2/2020,0.127205688,0.024743994,0.05
7/2/2020,0.127205688,0.024743994,0.05
8/2/2020,0.127205688,0.024743994,0.05
9/2/2020,0.127205688,0.024743994,0.05
10/2/2020,0.127205688,0.024743994,0.05
11/2/2020,0.127205688,0.024743994,0.05
12/2/2020,0.127205688,0.024743994,0.05
13/2/2020,0.127205688,0.024743994,0.05
14/2/2020,0.127205688,0.024743994,0.05
15/2/2020,0.127205688,0.024743994,0.05
16/2/2020,0.127205688,0.024743994,0.05
17/2/2020,0.127205688,0.024743994,0.05
18/2/2020,0.009945524,0.05983741,0.05
19/2/2020,0.009945524,0.05983741,0.05
20/2/2020,0.009945524,0.05983741,0.05
21/2/2020,0.009945524,0.05983741,0.05
22/2/2020,0.009945524,0.05983741,0.05
23/2/2020,0.009945524,0.05983741,0.05
24/2/2020,0.009945524,0.05983741,0.05
25/2/2020,0.009945524,0.05983741,0.05
26/2/2020,0.009945524,0.05983741,0.05
27/2/2020,0.009945524,0.05983741,0.05
28/2/2020,0.009945524,0.05983741,0.05
29/2/2020,0.009945524,0.05983741,0.05
1/3/2020,0.009945524,0.05983741,0.05
2/3/2020,0.009945524,0.05983741,0.05
3/3/2020,0.009945524,0.05983741,0.05
4/3/2020,0.009945524,0.05983741,0.05
5/3/2020,0.009945524,0.05983741,0.05
6/3/2020,0.009945524,0.05983741,0.05
7/3/2020,0.002204029,0.093601462,0.05
8/3/2020,0.002204029,0.093601462,0.05
9/3/2020,0.002204029,0.093601462,0.05
10/3/2020,0.002204029,0.093601462,0.05
11/3/2020,0.002204029,0.093601462,0.05
12/3/2020,0.002204029,0.093601462,0.05
13/3/2020,0.002204029,0.093601462,0.05
14/3/2020,0.002204029,0.093601462,0.05
15/3/2020,0.002204029,0.093601462,0.05
16/3/2020,0.002204029,0.093601462,0.05
17/3/2020,0.002204029,0.093601462,0.05
18/3/2020,0.027692134,0.077341743,0.05
19/3/2020,0.027692134,0.077341743,0.05
20/3/2020,0.027692134,0.077341743,0.05
21/3/2020,0.027692134,0.077341743,0.05
22/3/2020,0.027692134,0.077341743,0.05
23/3/2020,0.027692134,0.077341743,0.05
24/3/2020,0.027692134,0.077341743,0.05
25/3/2020,0.027692134,0.077341743,0.05
26/3/2020,0.027692134,0.077341743,0.05
27/3/2020,0.027692134,0.077341743,0.05
28/3/2020,0.027692134,0.077341743,0.05
